iterations,Qexp,Qnorm,Qexp_std,Qnorm_std
1.00E+04,0.342296525,0.38713437,0.31119151,0.349344471
5.00E+04,0.47126466,0.477496132,0.30394366,0.303020249
1.00E+05,0.417716416,0.453609607,0.259326536,0.280005496
5.00E+05,0.552904867,0.49918417,0.265590864,0.287843517
1.00E+06,0.511756817,0.49605794,0.25170786,0.27654352
